INFO  2023-12-20 14:39:30,874  Browser listening on: ws://127.0.0.1:57811/devtools/browser/06827910-e084-4dad-9b99-a03c33d9afca
INFO  2023-12-20 14:39:34,233  Title       : Know the Impact of Inflation on Mutual Fund Investment - HDFC Mutual Fund
INFO  2023-12-20 14:39:34,233  Description : With the Impact on Inflation calculate the effect of inflation on your investment in the future on a certain inflation rate. Consider all the factors of mutual funds and invest wisely with HDFC Mutual Fund.

INFO  2023-12-20 14:39:34,233  Category    : 
INFO  2023-12-20 14:39:34,233  Subcategory : 
INFO  2023-12-20 14:39:34,233  The url https://www.hdfcfund.com/learners-corner/impact-of-inflation completed
INFO  2023-12-20 14:39:34,248  
INFO  2023-12-20 14:39:34,279  The url : https://www.hdfcfund.com/investor-services/our-online-services/quick-invest started....
INFO  2023-12-20 14:39:35,318  Browser listening on: ws://127.0.0.1:57855/devtools/browser/01f00a7f-7b7f-41bd-a2c4-c8d95ad5307e
INFO  2023-12-20 14:39:38,218  Title       : Quick invest
INFO  2023-12-20 14:39:38,218  Description : 
INFO  2023-12-20 14:39:38,218  Category    : 
INFO  2023-12-20 14:39:38,218  Subcategory : 
INFO  2023-12-20 14:39:38,234  The url https://www.hdfcfund.com/investor-services/our-online-services/quick-invest completed
INFO  2023-12-20 14:39:38,234  
INFO  2023-12-20 14:39:38,265  The url : https://www.hdfcfund.com/about-us/corporate-profile/csr started....
INFO  2023-12-20 14:39:40,249  Browser listening on: ws://127.0.0.1:57897/devtools/browser/8c34813b-89f7-4acc-b348-bca64b4cde47
INFO  2023-12-20 14:39:43,348  Title       : CSR
INFO  2023-12-20 14:39:43,348  Description : 
INFO  2023-12-20 14:39:43,348  Category    : 
INFO  2023-12-20 14:39:43,349  Subcategory : 
INFO  2023-12-20 14:39:43,360  The url https://www.hdfcfund.com/about-us/corporate-profile/csr completed
INFO  2023-12-20 14:39:43,360  
INFO  2023-12-20 14:39:43,380  The url : https://www.hdfcfund.com/insights/md-ceo-desk/final-frontier started....
INFO  2023-12-20 14:39:45,748  Browser listening on: ws://127.0.0.1:57939/devtools/browser/50a872f7-2c20-4d69-9411-b009291722eb
INFO  2023-12-20 14:39:50,352  Title       : The Final Frontier by Navneet Munot
INFO  2023-12-20 14:39:50,352  Description : Building a diversified portfolio is essential for long-term financial success. This article provides an insight in creating a diversified portfolio that meets your individual needs and goals.
INFO  2023-12-20 14:39:50,352  Category    : 
INFO  2023-12-20 14:39:50,352  Subcategory : 
INFO  2023-12-20 14:39:50,363  The url https://www.hdfcfund.com/insights/md-ceo-desk/final-frontier completed
INFO  2023-12-20 14:39:50,364  
INFO  2023-12-20 14:39:50,389  The url : https://www.hdfcfund.com/product-solutions/retirement-planning started....
INFO  2023-12-20 14:39:51,425  Browser listening on: ws://127.0.0.1:57983/devtools/browser/6a46a2f3-20fb-4f1b-9ef3-b3a603741ab6
INFO  2023-12-20 14:39:54,746  Title       : Types of Mutual Fund Schemes in India - HDFC Mutual Fund
INFO  2023-12-20 14:39:54,746  Description : Know the different types of HDFC mutual funds offered by HDFC Mutual Funds and choose the right one as per your investment goals like equity, debt, hybrid mutual funds.

INFO  2023-12-20 14:39:54,746  Category    : 
INFO  2023-12-20 14:39:54,746  Subcategory : 
INFO  2023-12-20 14:39:54,757  The url https://www.hdfcfund.com/product-solutions/retirement-planning completed
INFO  2023-12-20 14:39:54,758  
INFO  2023-12-20 14:39:54,780  The url : https://www.hdfcfund.com/statutory-disclosure/total-expense-ratio-of-mutual-fund-schemes/reports started....
INFO  2023-12-20 14:39:56,943  Browser listening on: ws://127.0.0.1:58031/devtools/browser/87393b41-5fcf-4f01-8f3f-ab741a80eb72
INFO  2023-12-20 14:40:01,181  Title       : Total Expense Ratio of Mutual Fund Schemes - HDFC Mutual Fund
INFO  2023-12-20 14:40:01,181  Description : Know the Total Expense Ratio Of Mutual Fund Schemes (TER) or TER Report and related notices by HDFC Mutual Fund year-wise or month-wise.

INFO  2023-12-20 14:40:01,181  Category    : 
INFO  2023-12-20 14:40:01,181  Subcategory : 
INFO  2023-12-20 14:40:01,194  The url https://www.hdfcfund.com/statutory-disclosure/total-expense-ratio-of-mutual-fund-schemes/reports completed
INFO  2023-12-20 14:40:01,194  
INFO  2023-12-20 14:40:01,292  The url : https://www.hdfcfund.com/insights/weekend-bytes started....
INFO  2023-12-20 14:40:02,469  Browser listening on: ws://127.0.0.1:58076/devtools/browser/9e10b909-1380-41a3-84e7-60f9dd61eacd
INFO  2023-12-20 14:40:05,656  Title       : Weekend Bytes
INFO  2023-12-20 14:40:05,656  Description : 
INFO  2023-12-20 14:40:05,656  Category    : 
INFO  2023-12-20 14:40:05,656  Subcategory : 
INFO  2023-12-20 14:40:05,671  The url https://www.hdfcfund.com/insights/weekend-bytes completed
INFO  2023-12-20 14:40:05,671  
INFO  2023-12-20 14:40:05,705  The url : https://www.hdfcfund.com/distributor-corner started....
INFO  2023-12-20 14:40:09,672  Browser listening on: ws://127.0.0.1:58117/devtools/browser/cd080374-a13e-41e8-90f3-c70261c4811c
INFO  2023-12-20 14:40:12,593  Title       : HDFC Mutual Fund Distributor Desk - HDFC MFOnline Partners - HDFC Mutual Fund
